"id","pokemon","species_id","height","weight","base_experience","type_1","type_2","attack","defense","hp","special_attack","special_defense","speed"
1,"bulbasaur",1,7,69,64,"grass","poison",49,49,45,65,65,45
2,"ivysaur",2,10,130,142,"grass","poison",62,63,60,80,80,60
3,"venusaur",3,20,1000,236,"grass","poison",82,83,80,100,100,80
4,"charmander",4,6,85,62,"fire",NA,52,43,39,60,50,65
5,"charmeleon",5,11,190,142,"fire",NA,64,58,58,80,65,80
6,"charizard",6,17,905,240,"fire","flying",84,78,78,109,85,100
7,"squirtle",7,5,90,63,"water",NA,48,65,44,50,64,43
8,"wartortle",8,10,225,142,"water",NA,63,80,59,65,80,58
9,"blastoise",9,16,855,239,"water",NA,83,100,79,85,105,78
10,"caterpie",10,3,29,39,"bug",NA,30,35,45,20,20,45
11,"metapod",11,7,99,72,"bug",NA,20,55,50,25,25,30
12,"butterfree",12,11,320,178,"bug","flying",45,50,60,90,80,70
13,"weedle",13,3,32,39,"bug","poison",35,30,40,20,20,50
14,"kakuna",14,6,100,72,"bug","poison",25,50,45,25,25,35
15,"beedrill",15,10,295,178,"bug","poison",90,40,65,45,80,75
16,"pidgey",16,3,18,50,"normal","flying",45,40,40,35,35,56
17,"pidgeotto",17,11,300,122,"normal","flying",60,55,63,50,50,71
18,"pidgeot",18,15,395,216,"normal","flying",80,75,83,70,70,101
19,"rattata",19,3,35,51,"normal",NA,56,35,30,25,35,72
20,"raticate",20,7,185,145,"normal",NA,81,60,55,50,70,97
21,"spearow",21,3,20,52,"normal","flying",60,30,40,31,31,70
22,"fearow",22,12,380,155,"normal","flying",90,65,65,61,61,100
23,"ekans",23,20,69,58,"poison",NA,60,44,35,40,54,55
24,"arbok",24,35,650,153,"poison",NA,85,69,60,65,79,80
25,"pikachu",25,4,60,112,"electric",NA,55,40,35,50,50,90
26,"raichu",26,8,300,218,"electric",NA,90,55,60,90,80,110
27,"sandshrew",27,6,120,60,"ground",NA,75,85,50,20,30,40
28,"sandslash",28,10,295,158,"ground",NA,100,110,75,45,55,65
29,"nidoran-f",29,4,70,55,"poison",NA,47,52,55,40,40,41
30,"nidorina",30,8,200,128,"poison",NA,62,67,70,55,55,56
31,"nidoqueen",31,13,600,227,"poison","ground",92,87,90,75,85,76
32,"nidoran-m",32,5,90,55,"poison",NA,57,40,46,40,40,50
33,"nidorino",33,9,195,128,"poison",NA,72,57,61,55,55,65
34,"nidoking",34,14,620,227,"poison","ground",102,77,81,85,75,85
35,"clefairy",35,6,75,113,"fairy",NA,45,48,70,60,65,35
36,"clefable",36,13,400,217,"fairy",NA,70,73,95,95,90,60
37,"vulpix",37,6,99,60,"fire",NA,41,40,38,50,65,65
38,"ninetales",38,11,199,177,"fire",NA,76,75,73,81,100,100
39,"jigglypuff",39,5,55,95,"normal","fairy",45,20,115,45,25,20
40,"wigglytuff",40,10,120,196,"normal","fairy",70,45,140,85,50,45
41,"zubat",41,8,75,49,"poison","flying",45,35,40,30,40,55
42,"golbat",42,16,550,159,"poison","flying",80,70,75,65,75,90
43,"oddish",43,5,54,64,"grass","poison",50,55,45,75,65,30
44,"gloom",44,8,86,138,"grass","poison",65,70,60,85,75,40
45,"vileplume",45,12,186,221,"grass","poison",80,85,75,110,90,50
46,"paras",46,3,54,57,"bug","grass",70,55,35,45,55,25
47,"parasect",47,10,295,142,"bug","grass",95,80,60,60,80,30
48,"venonat",48,10,300,61,"bug","poison",55,50,60,40,55,45
49,"venomoth",49,15,125,158,"bug","poison",65,60,70,90,75,90
50,"diglett",50,2,8,53,"ground",NA,55,25,10,35,45,95
51,"dugtrio",51,7,333,142,"ground",NA,80,50,35,50,70,120
52,"meowth",52,4,42,58,"normal",NA,45,35,40,40,40,90
53,"persian",53,10,320,154,"normal",NA,70,60,65,65,65,115
54,"psyduck",54,8,196,64,"water",NA,52,48,50,65,50,55
55,"golduck",55,17,766,175,"water",NA,82,78,80,95,80,85
56,"mankey",56,5,280,61,"fighting",NA,80,35,40,35,45,70
57,"primeape",57,10,320,159,"fighting",NA,105,60,65,60,70,95
58,"growlithe",58,7,190,70,"fire",NA,70,45,55,70,50,60
59,"arcanine",59,19,1550,194,"fire",NA,110,80,90,100,80,95
60,"poliwag",60,6,124,60,"water",NA,50,40,40,40,40,90
61,"poliwhirl",61,10,200,135,"water",NA,65,65,65,50,50,90
62,"poliwrath",62,13,540,230,"water","fighting",95,95,90,70,90,70
63,"abra",63,9,195,62,"psychic",NA,20,15,25,105,55,90
64,"kadabra",64,13,565,140,"psychic",NA,35,30,40,120,70,105
65,"alakazam",65,15,480,225,"psychic",NA,50,45,55,135,95,120
66,"machop",66,8,195,61,"fighting",NA,80,50,70,35,35,35
67,"machoke",67,15,705,142,"fighting",NA,100,70,80,50,60,45
68,"machamp",68,16,1300,227,"fighting",NA,130,80,90,65,85,55
69,"bellsprout",69,7,40,60,"grass","poison",75,35,50,70,30,40
70,"weepinbell",70,10,64,137,"grass","poison",90,50,65,85,45,55
71,"victreebel",71,17,155,221,"grass","poison",105,65,80,100,70,70
72,"tentacool",72,9,455,67,"water","poison",40,35,40,50,100,70
73,"tentacruel",73,16,550,180,"water","poison",70,65,80,80,120,100
74,"geodude",74,4,200,60,"rock","ground",80,100,40,30,30,20
75,"graveler",75,10,1050,137,"rock","ground",95,115,55,45,45,35
76,"golem",76,14,3000,223,"rock","ground",120,130,80,55,65,45
77,"ponyta",77,10,300,82,"fire",NA,85,55,50,65,65,90
78,"rapidash",78,17,950,175,"fire",NA,100,70,65,80,80,105
79,"slowpoke",79,12,360,63,"water","psychic",65,65,90,40,40,15
80,"slowbro",80,16,785,172,"water","psychic",75,110,95,100,80,30
81,"magnemite",81,3,60,65,"electric","steel",35,70,25,95,55,45
82,"magneton",82,10,600,163,"electric","steel",60,95,50,120,70,70
83,"farfetchd",83,8,150,123,"normal","flying",65,55,52,58,62,60
84,"doduo",84,14,392,62,"normal","flying",85,45,35,35,35,75
85,"dodrio",85,18,852,161,"normal","flying",110,70,60,60,60,100
86,"seel",86,11,900,65,"water",NA,45,55,65,45,70,45
87,"dewgong",87,17,1200,166,"water","ice",70,80,90,70,95,70
88,"grimer",88,9,300,65,"poison",NA,80,50,80,40,50,25
89,"muk",89,12,300,175,"poison",NA,105,75,105,65,100,50
90,"shellder",90,3,40,61,"water",NA,65,100,30,45,25,40
91,"cloyster",91,15,1325,184,"water","ice",95,180,50,85,45,70
92,"gastly",92,13,1,62,"ghost","poison",35,30,30,100,35,80
93,"haunter",93,16,1,142,"ghost","poison",50,45,45,115,55,95
94,"gengar",94,15,405,225,"ghost","poison",65,60,60,130,75,110
95,"onix",95,88,2100,77,"rock","ground",45,160,35,30,45,70
96,"drowzee",96,10,324,66,"psychic",NA,48,45,60,43,90,42
97,"hypno",97,16,756,169,"psychic",NA,73,70,85,73,115,67
98,"krabby",98,4,65,65,"water",NA,105,90,30,25,25,50
99,"kingler",99,13,600,166,"water",NA,130,115,55,50,50,75
100,"voltorb",100,5,104,66,"electric",NA,30,50,40,55,55,100
101,"electrode",101,12,666,168,"electric",NA,50,70,60,80,80,140
102,"exeggcute",102,4,25,65,"grass","psychic",40,80,60,60,45,40
103,"exeggutor",103,20,1200,182,"grass","psychic",95,85,95,125,65,55
104,"cubone",104,4,65,64,"ground",NA,50,95,50,40,50,35
105,"marowak",105,10,450,149,"ground",NA,80,110,60,50,80,45
106,"hitmonlee",106,15,498,159,"fighting",NA,120,53,50,35,110,87
107,"hitmonchan",107,14,502,159,"fighting",NA,105,79,50,35,110,76
108,"lickitung",108,12,655,77,"normal",NA,55,75,90,60,75,30
109,"koffing",109,6,10,68,"poison",NA,65,95,40,60,45,35
110,"weezing",110,12,95,172,"poison",NA,90,120,65,85,70,60
111,"rhyhorn",111,10,1150,69,"ground","rock",85,95,80,30,30,25
112,"rhydon",112,19,1200,170,"ground","rock",130,120,105,45,45,40
113,"chansey",113,11,346,395,"normal",NA,5,5,250,35,105,50
114,"tangela",114,10,350,87,"grass",NA,55,115,65,100,40,60
115,"kangaskhan",115,22,800,172,"normal",NA,95,80,105,40,80,90
116,"horsea",116,4,80,59,"water",NA,40,70,30,70,25,60
117,"seadra",117,12,250,154,"water",NA,65,95,55,95,45,85
118,"goldeen",118,6,150,64,"water",NA,67,60,45,35,50,63
119,"seaking",119,13,390,158,"water",NA,92,65,80,65,80,68
120,"staryu",120,8,345,68,"water",NA,45,55,30,70,55,85
121,"starmie",121,11,800,182,"water","psychic",75,85,60,100,85,115
122,"mr-mime",122,13,545,161,"psychic","fairy",45,65,40,100,120,90
123,"scyther",123,15,560,100,"bug","flying",110,80,70,55,80,105
124,"jynx",124,14,406,159,"ice","psychic",50,35,65,115,95,95
125,"electabuzz",125,11,300,172,"electric",NA,83,57,65,95,85,105
126,"magmar",126,13,445,173,"fire",NA,95,57,65,100,85,93
127,"pinsir",127,15,550,175,"bug",NA,125,100,65,55,70,85
128,"tauros",128,14,884,172,"normal",NA,100,95,75,40,70,110
129,"magikarp",129,9,100,40,"water",NA,10,55,20,15,20,80
130,"gyarados",130,65,2350,189,"water","flying",125,79,95,60,100,81
131,"lapras",131,25,2200,187,"water","ice",85,80,130,85,95,60
132,"ditto",132,3,40,101,"normal",NA,48,48,48,48,48,48
133,"eevee",133,3,65,65,"normal",NA,55,50,55,45,65,55
134,"vaporeon",134,10,290,184,"water",NA,65,60,130,110,95,65
135,"jolteon",135,8,245,184,"electric",NA,65,60,65,110,95,130
136,"flareon",136,9,250,184,"fire",NA,130,60,65,95,110,65
137,"porygon",137,8,365,79,"normal",NA,60,70,65,85,75,40
138,"omanyte",138,4,75,71,"rock","water",40,100,35,90,55,35
139,"omastar",139,10,350,173,"rock","water",60,125,70,115,70,55
140,"kabuto",140,5,115,71,"rock","water",80,90,30,55,45,55
141,"kabutops",141,13,405,173,"rock","water",115,105,60,65,70,80
142,"aerodactyl",142,18,590,180,"rock","flying",105,65,80,60,75,130
143,"snorlax",143,21,4600,189,"normal",NA,110,65,160,65,110,30
144,"articuno",144,17,554,261,"ice","flying",85,100,90,95,125,85
145,"zapdos",145,16,526,261,"electric","flying",90,85,90,125,90,100
146,"moltres",146,20,600,261,"fire","flying",100,90,90,125,85,90
147,"dratini",147,18,33,60,"dragon",NA,64,45,41,50,50,50
148,"dragonair",148,40,165,147,"dragon",NA,84,65,61,70,70,70
149,"dragonite",149,22,2100,270,"dragon","flying",134,95,91,100,100,80
150,"mewtwo",150,20,1220,306,"psychic",NA,110,90,106,154,90,130
151,"mew",151,4,40,270,"psychic",NA,100,100,100,100,100,100
152,"chikorita",152,9,64,64,"grass",NA,49,65,45,49,65,45
153,"bayleef",153,12,158,142,"grass",NA,62,80,60,63,80,60
154,"meganium",154,18,1005,236,"grass",NA,82,100,80,83,100,80
155,"cyndaquil",155,5,79,62,"fire",NA,52,43,39,60,50,65
156,"quilava",156,9,190,142,"fire",NA,64,58,58,80,65,80
157,"typhlosion",157,17,795,240,"fire",NA,84,78,78,109,85,100
158,"totodile",158,6,95,63,"water",NA,65,64,50,44,48,43
159,"croconaw",159,11,250,142,"water",NA,80,80,65,59,63,58
160,"feraligatr",160,23,888,239,"water",NA,105,100,85,79,83,78
161,"sentret",161,8,60,43,"normal",NA,46,34,35,35,45,20
162,"furret",162,18,325,145,"normal",NA,76,64,85,45,55,90
