id	pokemon	species_id	height	weight	base_experience	type_1	type_2	attack	defense	hp	special_attack	special_defense	speed	ability_1	ability_2	ability_hidden	color_1	color_2	color_f	egg_group_1	egg_group_2	url_image	generation_id	evolves_from_species_id	evolution_chain_id	shape_id	shape
1	bulbasaur	1	7	69	64	grass	poison	49	49	45	65	65	45	overgrow	NA	chlorophyll	#78C850	#A040A0	#81A763	monster	plant	1.png	1	NA	1	8	quadruped
2	ivysaur	2	10	130	142	grass	poison	62	63	60	80	80	60	overgrow	NA	chlorophyll	#78C850	#A040A0	#81A763	monster	plant	2.png	1	1	1	8	quadruped
3	venusaur	3	20	1000	236	grass	poison	82	83	80	100	100	80	overgrow	NA	chlorophyll	#78C850	#A040A0	#81A763	monster	plant	3.png	1	2	1	8	quadruped
4	charmander	4	6	85	62	fire	NA	52	43	39	60	50	65	blaze	NA	solar-power	#F08030	NA	NA	monster	dragon	4.png	1	NA	2	6	upright
5	charmeleon	5	11	190	142	fire	NA	64	58	58	80	65	80	blaze	NA	solar-power	#F08030	NA	NA	monster	dragon	5.png	1	4	2	6	upright
6	charizard	6	17	905	240	fire	flying	84	78	78	109	85	100	blaze	NA	solar-power	#F08030	#A890F0	#DE835E	monster	dragon	6.png	1	5	2	6	upright
7	squirtle	7	5	90	63	water	NA	48	65	44	50	64	43	torrent	NA	rain-dish	#6890F0	NA	NA	monster	water1	7.png	1	NA	3	6	upright
8	wartortle	8	10	225	142	water	NA	63	80	59	65	80	58	torrent	NA	rain-dish	#6890F0	NA	NA	monster	water1	8.png	1	7	3	6	upright
9	blastoise	9	16	855	239	water	NA	83	100	79	85	105	78	torrent	NA	rain-dish	#6890F0	NA	NA	monster	water1	9.png	1	8	3	6	upright
10	caterpie	10	3	29	39	bug	NA	30	35	45	20	20	45	shield-dust	NA	run-away	#A8B820	NA	NA	bug	NA	10.png	1	NA	4	2	squiggle
11	metapod	11	7	99	72	bug	NA	20	55	50	25	25	30	shed-skin	NA	NA	#A8B820	NA	NA	bug	NA	11.png	1	10	4	2	squiggle
12	butterfree	12	11	320	178	bug	flying	45	50	60	90	80	70	compound-eyes	NA	tinted-lens	#A8B820	#A890F0	#A8AE52	bug	NA	12.png	1	11	4	13	bug-wings
13	weedle	13	3	32	39	bug	poison	35	30	40	20	20	50	shield-dust	NA	run-away	#A8B820	#A040A0	#A69A3F	bug	NA	13.png	1	NA	5	2	squiggle
14	kakuna	14	6	100	72	bug	poison	25	50	45	25	25	35	shed-skin	NA	NA	#A8B820	#A040A0	#A69A3F	bug	NA	14.png	1	13	5	2	squiggle
15	beedrill	15	10	295	178	bug	poison	90	40	65	45	80	75	swarm	NA	sniper	#A8B820	#A040A0	#A69A3F	bug	NA	15.png	1	14	5	13	bug-wings
16	pidgey	16	3	18	50	normal	flying	45	40	40	35	35	56	keen-eye	tangled-feet	big-pecks	#A8A878	#A890F0	#A8A295	flying	NA	16.png	1	NA	6	9	wings
17	pidgeotto	17	11	300	122	normal	flying	60	55	63	50	50	71	keen-eye	tangled-feet	big-pecks	#A8A878	#A890F0	#A8A295	flying	NA	17.png	1	16	6	9	wings
18	pidgeot	18	15	395	216	normal	flying	80	75	83	70	70	101	keen-eye	tangled-feet	big-pecks	#A8A878	#A890F0	#A8A295	flying	NA	18.png	1	17	6	9	wings
19	rattata	19	3	35	51	normal	NA	56	35	30	25	35	72	run-away	guts	hustle	#A8A878	NA	NA	ground	NA	19.png	1	NA	7	8	quadruped
20	raticate	20	7	185	145	normal	NA	81	60	55	50	70	97	run-away	guts	hustle	#A8A878	NA	NA	ground	NA	20.png	1	19	7	8	quadruped
21	spearow	21	3	20	52	normal	flying	60	30	40	31	31	70	keen-eye	NA	sniper	#A8A878	#A890F0	#A8A295	flying	NA	21.png	1	NA	8	9	wings
22	fearow	22	12	380	155	normal	flying	90	65	65	61	61	100	keen-eye	NA	sniper	#A8A878	#A890F0	#A8A295	flying	NA	22.png	1	21	8	9	wings
23	ekans	23	20	69	58	poison	NA	60	44	35	40	54	55	intimidate	shed-skin	unnerve	#A040A0	NA	NA	ground	dragon	23.png	1	NA	9	2	squiggle
24	arbok	24	35	650	153	poison	NA	85	69	60	65	79	80	intimidate	shed-skin	unnerve	#A040A0	NA	NA	ground	dragon	24.png	1	23	9	2	squiggle
25	pikachu	25	4	60	112	electric	NA	55	40	35	50	50	90	static	NA	lightning-rod	#F8D030	NA	NA	ground	fairy	25.png	1	172	10	8	quadruped
26	raichu	26	8	300	218	electric	NA	90	55	60	90	80	110	static	NA	lightning-rod	#F8D030	NA	NA	ground	fairy	26.png	1	25	10	6	upright
27	sandshrew	27	6	120	60	ground	NA	75	85	50	20	30	40	sand-veil	NA	sand-rush	#E0C068	NA	NA	ground	NA	27.png	1	NA	11	6	upright
28	sandslash	28	10	295	158	ground	NA	100	110	75	45	55	65	sand-veil	NA	sand-rush	#E0C068	NA	NA	ground	NA	28.png	1	27	11	6	upright
29	nidoran-f	29	4	70	55	poison	NA	47	52	55	40	40	41	poison-point	rivalry	hustle	#A040A0	NA	NA	monster	ground	29.png	1	NA	12	8	quadruped
30	nidorina	30	8	200	128	poison	NA	62	67	70	55	55	56	poison-point	rivalry	hustle	#A040A0	NA	NA	no-eggs	NA	30.png	1	29	12	8	quadruped
31	nidoqueen	31	13	600	227	poison	ground	92	87	90	75	85	76	poison-point	rivalry	sheer-force	#A040A0	#E0C068	#AF5F92	no-eggs	NA	31.png	1	30	12	6	upright
32	nidoran-m	32	5	90	55	poison	NA	57	40	46	40	40	50	poison-point	rivalry	hustle	#A040A0	NA	NA	monster	ground	32.png	1	NA	13	8	quadruped
33	nidorino	33	9	195	128	poison	NA	72	57	61	55	55	65	poison-point	rivalry	hustle	#A040A0	NA	NA	monster	ground	33.png	1	32	13	8	quadruped
