"country","year","m.014","m.1524","m.2534","m.3544","m.4554","m.5564","m.65","f.014","f.1524","f.2534","f.3544","f.4554","f.5564","f.65"
"AD",2000,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"AE",2000,2,4,4,6,5,12,10,3,16,1,3,0,0,4
"AF",2000,52,228,183,149,129,94,80,93,414,565,339,205,99,36
"AG",2000,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"AL",2000,2,19,21,14,24,19,16,3,11,10,8,8,5,11
"AM",2000,2,152,130,131,63,26,21,1,24,27,24,8,8,4
"AN",2000,0,0,1,2,0,0,0,0,0,1,0,0,1,0
"AO",2000,186,999,1003,912,482,312,194,247,1142,1091,844,417,200,120
"AR",2000,97,278,594,402,419,368,330,121,544,479,262,230,179,216
"AS",2000,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA
"AT",2000,1,17,30,59,42,23,41,1,11,22,12,11,6,22
"AU",2000,3,16,35,25,24,19,49,0,15,19,12,15,5,14
"AZ",2000,0,9,24,33,42,30,0,0,3,3,6,3,0,0
"BA",2000,4,56,82,99,66,58,77,4,30,46,29,29,48,124
"BB",2000,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"BD",2000,256,3640,5643,5750,4718,3667,2837,495,3029,3238,2247,1315,778,370
"BE",2000,3,20,57,39,55,32,56,6,15,15,19,4,13,27
"BF",2000,12,91,274,252,133,68,65,7,59,128,101,45,38,14
"BG",2000,0,13,16,20,3,9,10,0,11,14,7,3,4,6
"BH",2000,0,0,3,2,5,3,4,0,1,2,0,1,1,1
"BI",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BJ",2000,19,277,428,327,213,103,74,36,239,275,149,76,45,25
"BM",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BN",2000,0,6,4,15,5,7,15,0,4,6,9,6,3,4
"BO",2000,166,1182,797,518,466,340,366,191,831,588,334,254,192,233
"BR",2000,1894,7268,11568,11906,8623,5085,4494,1859,6719,7215,5395,3582,2384,2496
"BS",2000,1,2,7,9,4,3,2,2,5,7,8,2,3,1
"BT",2000,6,65,41,30,24,12,2,7,57,34,31,23,3,2
"BW",2000,25,185,605,488,267,135,96,37,335,469,262,98,57,36
"BY",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BZ",2000,2,5,7,2,6,3,5,0,2,1,2,4,1,4
"CA",2000,5,34,45,46,41,32,79,4,33,40,30,25,12,66
"CD",2000,485,4048,5833,4151,2549,1295,602,718,4422,5146,3309,1724,855,351
"CF",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CG",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH",2000,0,5,18,10,7,5,8,1,9,12,8,2,1,6
"CI",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CL",2000,6,81,160,198,150,132,126,10,66,96,70,54,58,83
"CM",2000,41,518,842,584,284,130,75,63,368,530,293,139,60,33
"CN",2000,1131,19111,29399,25206,25593,21429,21771,1420,14536,18496,12377,9899,7102,6296
"CO",2000,246,763,1030,963,743,610,746,194,587,758,523,381,304,510
"CR",2000,14,31,53,62,39,28,49,13,21,33,24,20,23,24
"CU",2000,0,71,167,90,74,55,75,2,9,22,26,22,23,39
"CV",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2000,0,7,31,52,89,61,59,0,15,13,9,10,7,57
"DE",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJ",2000,17,302,347,139,67,60,42,12,147,156,47,31,17,10
"DK",2000,5,10,20,24,16,11,14,5,16,15,14,6,7,8
"DO",2000,73,410,481,344,173,125,113,65,317,325,212,115,79,75
"DZ",2000,59,927,1516,610,491,234,299,36,1005,1293,746,314,208,312
