"State","region","Date","Home.Value","Structure.Cost","Land.Value","Land.Share..Pct.","Home.Price.Index","Land.Price.Index","Year","Qrtr"
"AK","West",2010.25,224952,160599,64352,28.6,1.481,1.552,2010,1
"AK","West",2010.5,225511,160252,65259,28.9,1.484,1.576,2010,2
"AK","West",2009.75,225820,163791,62029,27.5,1.486,1.494,2009,3
"AK","West",2010,224994,161787,63207,28.1,1.481,1.524,2009,4
"AK","West",2008,234590,155400,79190,33.8,1.544,1.885,2007,4
"AK","West",2008.25,233714,157458,76256,32.6,1.538,1.817,2008,1
"AK","West",2008.5,232999,160092,72906,31.3,1.534,1.74,2008,2
"AK","West",2008.75,232164,162704,69460,29.9,1.528,1.66,2008,3
"AK","West",2009,231039,164739,66299,28.7,1.521,1.587,2008,4
"AK","West",2009.25,229395,165424,63971,27.9,1.51,1.536,2009,1
"AK","West",2009.5,227421,165048,62373,27.4,1.497,1.5,2009,2
"AK","West",1985.5,140207,78032,62175,44.3,0.923,1.2,1985,2
"AK","West",1985.75,139244,78634,60610,43.5,0.916,1.177,1985,3
"AK","West",1986,138153,79225,58928,42.7,0.909,1.151,1985,4
"AK","West",1986.25,136885,79944,56942,41.6,0.901,1.12,1986,1
"AK","West",1986.5,135164,80469,54695,40.5,0.89,1.08,1986,2
"AK","West",1986.75,132599,80931,51668,39,0.873,1.022,1986,3
"AK","West",1987,129190,81330,47860,37,0.85,0.948,1986,4
"AK","West",1987.25,125163,81408,43755,35,0.824,0.861,1987,1
"AK","West",1987.5,121016,81765,39252,32.4,0.796,0.772,1987,2
"AK","West",1987.75,117600,82143,35458,30.2,0.774,0.698,1987,3
"AK","West",1988,115738,82531,33207,28.7,0.762,0.654,1987,4
"AK","West",1988.25,115764,82983,32781,28.3,0.762,0.648,1988,1
"AK","West",1988.5,116617,83389,33228,28.5,0.768,0.659,1988,2
"AK","West",1988.75,117388,83813,33575,28.6,0.773,0.667,1988,3
"AK","West",1989,116848,84263,32585,27.9,0.769,0.649,1988,4
"AK","West",1989.25,114426,84788,29638,25.9,0.753,0.593,1989,1
"AK","West",1989.5,110811,85266,25545,23.1,0.729,0.513,1989,2
"AK","West",1989.75,107853,85732,22121,20.5,0.71,0.445,1989,3
"AK","West",2010.75,226294,162003,64291,28.4,1.489,1.556,2010,3
"AK","West",2011,226970,167186,59784,26.3,1.494,1.45,2010,4
"AK","West",2011.25,227516,173238,54278,23.9,1.497,1.321,2011,1
"AK","West",2011.5,227743,179343,48400,21.3,1.499,1.18,2011,2
"AK","West",2011.75,227642,180886,46755,20.5,1.498,1.143,2011,3
"AK","West",2012,227390,181000,46390,20.4,1.497,1.137,2011,4
"AK","West",2012.25,227293,181112,46181,20.3,1.496,1.135,2012,1
"AK","West",2012.5,227962,181227,46735,20.5,1.5,1.151,2012,2
"AK","West",2012.75,229033,181345,47688,20.8,1.507,1.177,2012,3
"AK","West",2013,230396,181467,48929,21.2,1.516,1.211,2012,4
"AK","West",2013.25,231891,181592,50299,21.7,1.526,1.248,2013,1
"AK","West",1982.75,128004,61493,66510,52,0.842,1.147,1982,3
"AK","West",1983,130748,63864,66884,51.2,0.861,1.169,1982,4
"AK","West",1983.25,132906,66480,66426,50,0.875,1.18,1983,1
"AK","West",1983.5,134932,68885,66047,48.9,0.888,1.187,1983,2
"AK","West",1983.75,137000,71115,65885,48.1,0.902,1.198,1983,3
"AK","West",1984,138933,73009,65924,47.5,0.914,1.211,1983,4
"AK","West",1984.25,140569,74389,66180,47.1,0.925,1.228,1984,1
"AK","West",1984.5,141642,75408,66234,46.8,0.932,1.24,1984,2
"AK","West",1984.75,142119,76157,65962,46.4,0.935,1.245,1984,3
"AK","West",1985,141877,76751,65126,45.9,0.934,1.239,1984,4
"AK","West",1985.25,141108,77410,63698,45.1,0.929,1.221,1985,1
"AK","West",1995.5,136082,97576,38506,28.3,0.896,0.821,1995,2
"AK","West",1995.75,137273,97999,39274,28.6,0.903,0.838,1995,3
"AK","West",1996,138399,98359,40040,28.9,0.911,0.856,1995,4
"AK","West",1996.25,139434,98682,40752,29.2,0.918,0.871,1996,1
"AK","West",1996.5,140313,99018,41295,29.4,0.923,0.884,1996,2
"AK","West",1996.75,141114,99350,41764,29.6,0.929,0.895,1996,3
"AK","West",1997,141908,99692,42216,29.7,0.934,0.907,1996,4
"AK","West",1997.25,142609,100048,42561,29.8,0.939,0.915,1997,1
"AK","West",1997.5,143267,100451,42816,29.9,0.943,0.923,1997,2
"AK","West",1997.75,143960,100885,43075,29.9,0.948,0.931,1997,3
"AK","West",1998,144741,101354,43387,30,0.953,0.94,1997,4
"AK","West",1998.25,145638,101924,43714,30,0.959,0.952,1998,1
"AK","West",1998.5,146647,102425,44223,30.2,0.965,0.966,1998,2
"AK","West",1998.75,147651,102920,44731,30.3,0.972,0.98,1998,3
"AK","West",1999,148550,103404,45146,30.4,0.978,0.991,1998,4
"AK","West",1999.25,149240,103895,45345,30.4,0.982,0.998,1999,1
"AK","West",1999.5,149710,104368,45342,30.3,0.985,0.999,1999,2
"AK","West",1999.75,150036,104853,45182,30.1,0.987,0.997,1999,3
"AK","West",1990,106541,86176,20365,19.1,0.701,0.41,1989,4
"AK","West",1990.25,107338,86487,20851,19.4,0.706,0.419,1990,1
"AK","West",1990.5,110159,86851,23308,21.2,0.725,0.469,1990,2
"AK","West",1990.75,113469,87187,26282,23.2,0.747,0.531,1990,3
"AK","West",1991,116688,87483,29204,25,0.768,0.592,1990,4
"AK","West",1991.25,119472,87852,31619,26.5,0.786,0.646,1991,1
"AK","West",1991.5,121573,88168,33405,27.5,0.8,0.686,1991,2
"AK","West",1991.75,123041,88562,34479,28,0.81,0.712,1991,3
"AK","West",1992,124025,89112,34913,28.1,0.816,0.725,1991,4
"AK","West",1992.25,124706,89989,34718,27.8,0.821,0.729,1992,1
"AK","West",1992.5,125247,90788,34459,27.5,0.824,0.727,1992,2
"AK","West",1992.75,125754,91552,34202,27.2,0.828,0.724,1992,3
"AK","West",1993,126327,92177,34150,27,0.831,0.724,1992,4
"AK","West",1993.25,127066,92469,34597,27.2,0.836,0.731,1993,1
"AK","West",1993.5,128004,92782,35222,27.5,0.842,0.745,1993,2
"AK","West",1993.75,129065,93099,35966,27.9,0.849,0.761,1993,3
