SAT,GPA,"Rand 1,2,3"
1714,2.40,1
1664,2.52,3
1760,2.54,3
1685,2.74,3
1693,2.83,2
1670,2.91,1
1764,3.00,2
1764,3.00,1
1792,3.01,2
1850,3.01,3
1735,3.02,3
1775,3.07,2
1735,3.08,1
1712,3.08,3
1773,3.12,2
1872,3.17,2
1755,3.17,3
1674,3.17,2
1842,3.17,3
1786,3.19,3
1761,3.19,3
1722,3.19,3
1663,3.20,3
1687,3.21,1
1974,3.24,1
1826,3.28,1
1787,3.28,1
1821,3.28,3
2020,3.28,1
1794,3.28,2
1769,3.28,1
1934,3.28,1
1775,3.29,1
1855,3.29,3
1880,3.29,2
1849,3.31,2
1808,3.32,3
1954,3.34,3
1777,3.37,3
1831,3.37,2
1865,3.37,3
1850,3.38,1
1966,3.38,3
1702,3.39,1
1990,3.39,1
1925,3.40,2
1824,3.40,2
1956,3.40,1
1857,3.41,1
1979,3.41,3
1802,3.41,3
1855,3.42,1
1907,3.42,2
1634,3.42,2
1879,3.44,1
1887,3.47,1
1730,3.47,2
1953,3.47,1
1781,3.47,2
1891,3.48,2
1964,3.49,1
1808,3.49,3
1893,3.50,3
2041,3.51,3
1893,3.51,1
1832,3.52,2
1850,3.52,3
1934,3.54,2
1861,3.58,2
1931,3.58,3
1933,3.59,3
1778,3.59,1
1975,3.60,1
1934,3.60,3
2021,3.61,3
2015,3.62,3
1997,3.64,1
2020,3.65,2
1843,3.71,3
1936,3.71,3
1810,3.71,1
1987,3.73,3
1962,3.76,1
2050,3.81,2
