SAT,Admitted
1363,No
1792,Yes
1954,Yes
1653,No
1593,No
1755,Yes
1775,Yes
1887,Yes
1893,Yes
1580,No
1857,Yes
1880,Yes
1664,Yes
1364,No
1693,No
1850,Yes
1633,No
1634,No
1636,Yes
1855,Yes
1987,Yes
1997,Yes
1422,No
1508,No
1720,Yes
1879,Yes
1634,Yes
1802,Yes
1849,Yes
1764,Yes
1460,No
1675,Yes
1656,No
2020,Yes
1850,Yes
1865,Yes
1664,No
1872,Yes
1654,No
1393,No
1587,No
1631,Yes
1931,Yes
1370,No
1810,Yes
1414,No
1761,Yes
1477,No
1486,No
1561,No
1549,No
2050,Yes
1697,No
1543,No
1934,Yes
1385,No
1670,No
1735,Yes
1634,No
1777,Yes
1550,No
1715,Yes
1925,Yes
1842,Yes
1786,Yes
1435,No
1387,No
1521,No
1975,Yes
1435,No
1714,Yes
1634,Yes
1464,No
1794,Yes
1855,Yes
1953,Yes
1469,No
1663,Yes
1907,Yes
1990,Yes
1542,No
1808,Yes
1966,Yes
1679,No
2021,Yes
2015,Yes
1473,No
1979,Yes
1787,Yes
1687,Yes
1674,No
1478,No
1735,Yes
1720,Yes
1494,No
1964,Yes
1843,Yes
1550,No
1764,Yes
1712,Yes
1775,Yes
1531,No
1781,Yes
1579,No
1526,No
1778,Yes
1769,Yes
1824,Yes
1481,No
1464,No
1591,No
1666,No
1455,No
1934,Yes
1625,No
1334,No
1721,Yes
1475,No
1662,Yes
1861,Yes
1936,Yes
1572,No
1508,No
1430,No
1891,Yes
1550,No
1741,Yes
1690,No
1687,Yes
1730,Yes
1674,Yes
1475,No
1962,Yes
1532,No
1492,No
1502,No
1974,Yes
1607,No
1412,No
1557,No
1821,Yes
1760,Yes
1685,Yes
1773,Yes
1826,Yes
1565,No
1510,No
1374,No
1402,No
1702,Yes
1956,Yes
1933,Yes
1832,Yes
1893,Yes
1831,Yes
1487,No
2041,Yes
1850,Yes
1555,No
2020,Yes
1593,No
1934,Yes
1808,Yes
1722,Yes
1750,Yes
1555,No
1524,No
1461,No
