,interest_rate,credit,march,may,previous,duration,y
0,1.334,0.0,1.0,0.0,0.0,117.0,no
1,0.767,0.0,0.0,2.0,1.0,274.0,yes
2,4.8580000000000005,0.0,1.0,0.0,0.0,167.0,no
3,4.12,0.0,0.0,0.0,0.0,686.0,yes
4,4.856,0.0,1.0,0.0,0.0,157.0,no
5,0.899,0.0,0.0,1.0,0.0,126.0,no
6,4.962,0.0,0.0,0.0,0.0,84.0,no
7,4.8580000000000005,0.0,1.0,0.0,0.0,17.0,no
8,4.962,0.0,0.0,0.0,0.0,704.0,yes
9,4.865,0.0,0.0,0.0,0.0,185.0,no
10,1.365,0.0,0.0,1.0,1.0,374.0,no
11,0.773,0.0,0.0,0.0,0.0,91.0,yes
12,0.7140000000000001,0.0,0.0,2.0,1.0,169.0,yes
13,4.864,0.0,0.0,0.0,0.0,249.0,no
14,4.966,0.0,0.0,0.0,0.0,215.0,no
15,0.904,0.0,0.0,0.0,0.0,324.0,yes
16,0.8490000000000001,0.0,0.0,2.0,1.0,159.0,yes
17,1.811,1.0,0.0,0.0,0.0,120.0,yes
18,1.264,0.0,1.0,0.0,0.0,337.0,yes
19,4.0760000000000005,0.0,0.0,0.0,0.0,640.0,no
20,1.262,0.0,0.0,0.0,0.0,663.0,yes
21,0.695,0.0,1.0,2.0,1.0,403.0,yes
22,4.96,0.0,0.0,0.0,0.0,300.0,no
23,4.963,0.0,0.0,0.0,0.0,255.0,yes
24,1.354,0.0,1.0,1.0,1.0,293.0,yes
25,1.244,0.0,1.0,0.0,0.0,68.0,no
26,0.748,0.0,0.0,1.0,0.0,266.0,yes
27,0.878,0.0,0.0,0.0,0.0,272.0,yes
28,0.644,0.0,0.0,0.0,0.0,398.0,yes
29,4.968,0.0,0.0,0.0,0.0,126.0,no
30,4.965,0.0,0.0,0.0,0.0,35.0,no
31,1.244,0.0,1.0,0.0,0.0,126.0,no
32,4.856,0.0,1.0,0.0,0.0,683.0,yes
33,1.26,0.0,0.0,1.0,0.0,280.0,yes
34,4.864,0.0,0.0,0.0,0.0,161.0,no
35,4.86,0.0,1.0,0.0,0.0,191.0,no
36,1.327,0.0,1.0,1.0,0.0,1135.0,yes
37,4.0760000000000005,0.0,0.0,0.0,0.0,81.0,no
38,1.811,1.0,0.0,0.0,0.0,1447.0,yes
39,1.266,0.0,1.0,0.0,0.0,436.0,no
40,4.592,0.0,0.0,0.0,0.0,132.0,no
