name,Longitude,Latitude,continent
Aruba,-69.98267711,12.52088038,North America
Afghanistan,66.00473366,33.83523073,Asia
Angola,17.53736768,-12.29336054,Africa
Anguilla,-63.06498927,18.2239595,North America
Albania,20.04983396,41.14244989,Europe
Aland,19.95328768,60.21488688,Europe
Andorra,1.56054378,42.54229102,Europe
United Arab Emirates,54.3001671,23.90528188,Asia
Argentina,-65.17980692,-35.3813488,South America
Armenia,44.92993276,40.28952569,Asia
American Samoa,-170.7180258,-14.30445997,Oceania
Antarctica,19.92108951,-80.50857913,Antarctica
Ashmore and Cartier Is.,123.5838379,-12.42993164,Oceania
Fr. S. Antarctic Lands,69.22666758,-49.24895485,Seven seas (open ocean)
Antigua and Barb.,-61.79469343,17.2774996,North America
Australia,134.4910001,-25.73288704,Oceania
Austria,14.1264761,47.58549439,Europe
Azerbaijan,47.54599879,40.28827235,Asia
Burundi,29.87512156,-3.35939666,Africa
Belgium,4.64065114,50.63981576,Europe
Benin,2.32785254,9.6417597,Africa
Burkina Faso,-1.75456601,12.26953846,Africa
Bangladesh,90.23812743,23.86731158,Asia
Bulgaria,25.21552909,42.76890318,Europe
Bahrain,50.54196932,26.04205135,Asia
Canada,-98.30777028,61.36206324,North America
Bahamas,-76.62843038,24.29036702,North America
Bosnia and Herz.,17.76876733,44.17450125,Europe
St-Barth̩lemy,-62.84067779,17.89880451,North America
Belarus,28.03209307,53.53131377,Europe
Belize,-88.71010486,17.20027509,North America
Bermuda,-64.7545589,32.31367802,North America
Bolivia,-64.68538645,-16.70814787,South America
Brazil,-53.09783113,-10.78777702,South America
Barbados,-59.559797,13.18145428,North America
Brunei,114.7220304,4.51968958,Asia
Bhutan,90.40188155,27.41106589,Asia
Botswana,23.79853368,-22.18403213,Africa
Central African Rep.,20.46826831,6.56823297,Africa
Switzerland,8.20867471,46.79785878,Europe
Chile,-71.38256213,-37.73070989,South America
China,103.8190735,36.56176546,Asia
C̫te d'Ivoire,-5.5692157,7.6284262,Africa
Cameroon,12.73964156,5.69109849,Africa
Dem. Rep. Congo,23.64396107,-2.87746289,Africa
Congo,15.21965762,-0.83787463,Africa
Cook Is.,-159.7872422,-21.21927288,Oceania
Colombia,-73.08114582,3.91383431,South America
Comoros,43.68253968,-11.87783444,Africa
Cape Verde,-23.9598882,15.95523324,Africa
Costa Rica,-84.19208768,9.97634464,North America
Cuba,-79.01605384,21.62289528,North America
Cura̤ao,-68.97119369,12.19551675,North America
Cayman Is.,-80.91213321,19.42896497,North America
N. Cyprus,33.5684813,35.26277486,Asia
Cyprus,33.0060022,34.91667211,Asia
Czech Rep.,15.31240163,49.73341233,Europe
Germany,10.38578051,51.10698181,Europe
Djibouti,42.5606754,11.74871806,Africa
Dominica,-61.357726,15.4394702,North America
Denmark,10.02800992,55.98125296,Europe
Dominican Rep.,-70.50568896,18.89433082,North America
Algeria,2.61732301,28.15893849,Africa
Ecuador,-78.75201922,-1.42381612,South America
Egypt,29.86190099,26.49593311,Africa
Eritrea,38.84617011,15.36186618,Africa
Spain,-3.64755047,40.24448698,Europe
Estonia,25.54248537,58.67192972,Europe
Ethiopia,39.60080098,8.62278679,Africa
Finland,26.2746656,64.49884603,Europe
Fiji,165.4519543,-17.42858032,Oceania
Falkland Is.,-59.35238956,-51.74483954,South America
