ID,Reason for Absence,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
11,26,07/07/2015,289,36,33,239.554,30,1,2,1,4
36,0,14/07/2015,118,13,50,239.554,31,1,1,0,0
3,23,15/07/2015,179,51,38,239.554,31,1,0,0,2
7,7,16/07/2015,279,5,39,239.554,24,1,2,0,4
11,23,23/07/2015,289,36,33,239.554,30,1,2,1,2
3,23,10/07/2015,179,51,38,239.554,31,1,0,0,2
10,22,17/07/2015,361,52,28,239.554,27,1,1,4,8
20,23,24/07/2015,260,50,36,239.554,23,1,4,0,4
14,19,06/07/2015,155,12,34,239.554,25,1,2,0,40
1,22,13/07/2015,235,11,37,239.554,29,3,1,1,8
20,1,20/07/2015,260,50,36,239.554,23,1,4,0,8
20,1,14/07/2015,260,50,36,239.554,23,1,4,0,8
20,11,15/07/2015,260,50,36,239.554,23,1,4,0,8
3,11,15/07/2015,179,51,38,239.554,31,1,0,0,1
3,23,15/07/2015,179,51,38,239.554,31,1,0,0,4
24,14,17/07/2015,246,25,41,239.554,23,1,0,0,8
3,23,17/07/2015,179,51,38,239.554,31,1,0,0,2
3,21,27/07/2015,179,51,38,239.554,31,1,0,0,8
6,11,30/07/2015,189,29,33,239.554,25,1,2,2,8
33,23,05/08/2015,248,25,47,205.917,32,1,2,1,2
18,10,12/08/2015,330,16,28,205.917,25,2,0,0,8
3,11,03/08/2015,179,51,38,205.917,31,1,0,0,1
10,13,10/08/2015,361,52,28,205.917,27,1,1,4,40
20,28,14/08/2015,260,50,36,205.917,23,1,4,0,4
11,18,17/08/2015,289,36,33,205.917,30,1,2,1,8
10,25,24/08/2015,361,52,28,205.917,27,1,1,4,7
11,23,04/08/2015,289,36,33,205.917,30,1,2,1,1
30,28,12/08/2015,157,27,29,205.917,22,1,0,0,4
11,18,19/08/2015,289,36,33,205.917,30,1,2,1,8
3,23,28/08/2015,179,51,38,205.917,31,1,0,0,2
3,18,17/08/2015,179,51,38,205.917,31,1,0,0,8
2,18,27/08/2015,235,29,48,205.917,33,1,1,5,8
1,23,27/08/2015,235,11,37,205.917,29,3,1,1,4
2,18,17/08/2015,235,29,48,205.917,33,1,1,5,8
3,23,17/08/2015,179,51,38,205.917,31,1,0,0,2
10,23,17/08/2015,361,52,28,205.917,27,1,1,4,1
11,24,04/08/2015,289,36,33,205.917,30,1,2,1,8
19,11,20/08/2015,291,50,32,205.917,23,1,0,0,4
2,28,21/08/2015,235,29,48,205.917,33,1,1,5,8
20,23,28/08/2015,260,50,36,205.917,23,1,4,0,4
27,23,01/09/2015,184,42,27,241.476,21,1,0,0,2
34,23,07/09/2015,118,10,37,241.476,28,1,0,0,4
3,23,01/09/2015,179,51,38,241.476,31,1,0,0,4
5,19,08/09/2015,235,20,43,241.476,38,1,1,0,8
14,23,09/09/2015,155,12,34,241.476,25,1,2,0,2
34,23,13/09/2015,118,10,37,241.476,28,1,0,0,3
3,23,14/09/2015,179,51,38,241.476,31,1,0,0,3
15,23,24/09/2015,291,31,40,241.476,25,1,1,1,4
20,22,04/09/2015,260,50,36,241.476,23,1,4,0,8
